序号          投放日期      重量          垃圾类别      垃圾投放者ID  手机号码      垃圾详情      

1             20220101      5.00          可回收        1001          13712135334   纸张          


2             20220201      6.00          不可回收      1001          13712134335   树叶          


3             20220201      5.00          有害垃圾      2001          13823289889   电池          


4             20220301      8.00          其它垃圾      3001          13989898889   其他          


5             20220401      8.00          可回收        1001          138787787878  纸巾          


6             20220501      9.00          不可回收      1001          13939333333   厨余          


7             20220601      4.00          有害垃圾      2001          12020202009   电池          


8             20220708      7.00          其它垃圾      2001          13838383887   其他          


9             20220809      9.00          可回收        1001          101010101009  纸箱          


10            20220908      8.00          不可回收      1002          13090909009   剩饭          


11            20220201      3.00          有害垃圾      1001          13737373773   电池          


12            20220101      5.00          可回收        1001          13712135334   纸张          


13            20220201      5.00          有害垃圾      2001          13823289889   电池          


14            20220301      8.00          其它垃圾      3001          13989898889   其他          


15            20220401      8.00          可回收        1001          138787787878  纸巾          


16            20220501      9.00          不可回收      1001          13939333333   厨余          


17            20220601      4.00          有害垃圾      2001          12020202009   电池          


18            20220708      7.00          其它垃圾      2001          13838383887   其他          


19            20220809      9.00          可回收        1001          101010101009  纸箱          


20            20220908      8.00          不可回收      1002          13090909009   剩饭          


21            20220201      3.00          有害垃圾      1001          13737373773   电池          


22            20220101      5.00          可回收        1001          13712135334   纸张          


23            20220201      5.00          有害垃圾      2001          13823289889   电池          


24            20220301      8.00          其它垃圾      3001          13989898889   其他          


25            20220401      8.00          可回收        1001          138787787878  纸巾          


26            20220501      9.00          不可回收      1001          13939333333   厨余          


27            20220601      4.00          有害垃圾      2001          12020202009   电池          


28            20220708      7.00          其它垃圾      2001          13838383887   其他          


29            20220809      9.00          可回收        1001          101010101009  纸箱          


30            20220908      8.00          不可回收      1002          13090909009   剩饭          


31            20220201      3.00          有害垃圾      1001          13737373773   电池          


32            20220101      5.00          可回收        1001          13712135334   纸张          


33            20220201      5.00          有害垃圾      2001          13823289889   电池          


34            20220301      8.00          其它垃圾      3001          13989898889   其他          


35            20220401      8.00          可回收        1001          138787787878  纸巾          


36            20220501      9.00          不可回收      1001          13939333333   厨余          


37            20220601      4.00          有害垃圾      2001          12020202009   电池          


38            20220708      7.00          其它垃圾      2001          13838383887   其他          


39            20220809      9.00          可回收        1001          101010101009  纸箱          


40            20220908      8.00          不可回收      1002          13090909009   剩饭          


41            20220101      5.00          可回收        1001          13712135334   纸张          


42            20220201      6.00          不可回收      1001          13712134335   树叶          


43            20220201      5.00          有害垃圾      2001          13823289889   电池          


44            20220301      8.00          其它垃圾      3001          13989898889   其他          


45            20220401      8.00          可回收        1001          138787787878  纸巾          


46            20220501      9.00          不可回收      1001          13939333333   厨余          


47            20220601      4.00          有害垃圾      2001          12020202009   电池          


48            20220708      7.00          其它垃圾      2001          13838383887   其他          


49            20220809      9.00          可回收        1001          101010101009  纸箱          


50            20220908      8.00          不可回收      1002          13090909009   剩饭          


51            20220101      5.00          可回收        1001          13712135334   纸张          


52            20220201      6.00          不可回收      1001          13712134335   树叶          


53            20220201      5.00          有害垃圾      2001          13823289889   电池          


54            20220306      8.00          其它垃圾      3001          13989898889   其他          


55            20221211      8.00          可回收        1001          138787787878  纸巾          


56            20221212      9.00          不可回收      1001          13939333333   厨余          


57            20221112      4.00          有害垃圾      2001          12020202009   电池          


58            20220709      7.00          其它垃圾      2001          13838383887   其他          


59            20220803      9.00          可回收        1001          101010101009  纸箱          

